观测序号_nobs,Date,Close_Price
77445,2022-08-31,386.83
77446,2022-09-01,384.26
77447,2022-09-02,384.34
77448,2022-09-05,387.14
77449,2022-09-06,388.75
77450,2022-09-07,387.39
77451,2022-09-08,389.73
77452,2022-09-09,390.13
77453,2022-09-13,389.37
77454,2022-09-14,386.66
77455,2022-09-15,385.36
77456,2022-09-16,384.64
77457,2022-09-19,384.3
77458,2022-09-20,385.58
77459,2022-09-21,386.76
77460,2022-09-22,385.71
77461,2022-09-23,387.96
77462,2022-09-26,385.84
77463,2022-09-27,386
77464,2022-09-28,385.83
77465,2022-09-29,389
77466,2022-09-30,390
77467,2022-10-10,392.49
77468,2022-10-11,392.01
77469,2022-10-12,392.57
77470,2022-10-13,392.83
77471,2022-10-14,392.45
77472,2022-10-17,390.97
77473,2022-10-18,390.8
77474,2022-10-19,390.01
77475,2022-10-20,388.6
77476,2022-10-21,388.93
77477,2022-10-24,393.32
77478,2022-10-25,393.68
77479,2022-10-26,393.96
77480,2022-10-27,393.18
77481,2022-10-28,392.55
77482,2022-10-31,391.76
77483,2022-11-01,391.99
77484,2022-11-02,392.6
77485,2022-11-03,391.98
77486,2022-11-04,392.7
77487,2022-11-07,394.5
77488,2022-11-08,395.18
77489,2022-11-09,403.56
77490,2022-11-10,402.53
77491,2022-11-11,407.19
77492,2022-11-14,402.47
77493,2022-11-15,404.99
77494,2022-11-16,406.77
77495,2022-11-17,407.31
77496,2022-11-18,406.6
77497,2022-11-21,404.71
77498,2022-11-22,404.93
77499,2022-11-23,404.35
77500,2022-11-24,405.9
77501,2022-11-25,406.3
77502,2022-11-28,406.87
77503,2022-11-29,406.68
77504,2022-11-30,405.76
77505,2022-12-01,407.48
77506,2022-12-02,410
77507,2022-12-05,406.17
77508,2022-12-06,403.56
77509,2022-12-07,402.4
77510,2022-12-08,403.41
77511,2022-12-09,404.72
77512,2022-12-12,403.69
77513,2022-12-13,405
77514,2022-12-14,409
77515,2022-12-15,404.38
77516,2022-12-16,403.69
77517,2022-12-19,405.79
77518,2022-12-20,405.78
77519,2022-12-21,409.98
77520,2022-12-22,409.94
77521,2022-12-23,409.03
77522,2022-12-26,407.53
77523,2022-12-27,407.98
77524,2022-12-28,408.99
77525,2022-12-29,407.19
77526,2022-12-30,410.49
77527,2023-01-03,412.26
77528,2023-01-04,413.84
77529,2023-01-05,412.73
77530,2023-01-06,409.35
77531,2023-01-09,413.42
77532,2023-01-10,414.13
77533,2023-01-11,415
77534,2023-01-12,414.37
77535,2023-01-13,414.43
77536,2023-01-16,417.21
77537,2023-01-17,418.19
77538,2023-01-18,418.23
77539,2023-01-19,419.21
77540,2023-01-20,422.45
77541,2023-01-30,422.67
77542,2023-01-31,418.33
77543,2023-02-01,421.67
77544,2023-02-02,425.85
77545,2023-02-03,419.52
77546,2023-02-06,414.04
77547,2023-02-07,413
77548,2023-02-08,413.45
77549,2023-02-09,414.54
77550,2023-02-10,412.65
77551,2023-02-13,413.83
77552,2023-02-14,413.08
77553,2023-02-15,412.4
77554,2023-02-16,412
77555,2023-02-17,411.35
77556,2023-02-20,413.15
77557,2023-02-21,411.8
77558,2023-02-22,414
77559,2023-02-23,412.78
77560,2023-02-24,414.01
77561,2023-02-27,413.04
77562,2023-02-28,412.69
77563,2023-03-01,414.75
77564,2023-03-02,414.3
77565,2023-03-03,416.21
77566,2023-03-06,420.26
77567,2023-03-07,419.76
77568,2023-03-08,415.22
77569,2023-03-09,415.46
77570,2023-03-10,417.73
77571,2023-03-13,421.45
77572,2023-03-14,427
77573,2023-03-15,426.56
77574,2023-03-16,430.29
77575,2023-03-17,432.42
77576,2023-03-20,449.23
77577,2023-03-21,441.36
77578,2023-03-22,434.14
77579,2023-03-23,438.2
77580,2023-03-24,439.66
77581,2023-03-27,437.22
77582,2023-03-28,435.81
77583,2023-03-29,437.01
77584,2023-03-30,437.19
77585,2023-03-31,440.74
77586,2023-04-03,435.56
77587,2023-04-04,439.51
77588,2023-04-06,446.69
77589,2023-04-07,445.9
77590,2023-04-10,442.33
77591,2023-04-11,444.19
77592,2023-04-12,447.34
77593,2023-04-13,447.86
77594,2023-04-14,449.35
77595,2023-04-17,445.44
77596,2023-04-18,443.7
77597,2023-04-19,443.52
77598,2023-04-20,444.15
77599,2023-04-21,442.44
77600,2023-04-24,441.64
77601,2023-04-25,445.44
77602,2023-04-26,445.93
77603,2023-04-27,446.72
77604,2023-04-28,443.37
77605,2023-05-04,452.79
77606,2023-05-05,454.92
77607,2023-05-08,450.3
77608,2023-05-09,451.14
77609,2023-05-10,452.6
77610,2023-05-11,452.86
77611,2023-05-12,450.41
77612,2023-05-15,452.13
77613,2023-05-16,450.96
77614,2023-05-17,449.17
77615,2023-05-18,448.5
77616,2023-05-19,446.72
77617,2023-05-22,448.43
77618,2023-05-23,446
77619,2023-05-24,448.87
77620,2023-05-25,447.64
77621,2023-05-26,445.28
77622,2023-05-29,444.56
77623,2023-05-30,443.77
77624,2023-05-31,449.62
77625,2023-06-01,449.23
77626,2023-06-02,451.11
77627,2023-06-05,446.31
77628,2023-06-06,449.02
77629,2023-06-07,449.29
77630,2023-06-08,447.59
77631,2023-06-09,450.88
77632,2023-06-12,451.45
77633,2023-06-13,453.21
77634,2023-06-14,450.2
77635,2023-06-15,446.32
77636,2023-06-16,450.07
77637,2023-06-19,450.33
77638,2023-06-20,451.13
77639,2023-06-21,449.97
77640,2023-06-26,449.3
77641,2023-06-27,449.25
77642,2023-06-28,446.8
77643,2023-06-29,447.09
77644,2023-06-30,448.47
77645,2023-07-03,449.5
77646,2023-07-04,450
77647,2023-07-05,450.74
77648,2023-07-06,450.41
77649,2023-07-07,449.92
77650,2023-07-10,451.35
77651,2023-07-11,450.29
77652,2023-07-12,451.26
77653,2023-07-13,454.9
77654,2023-07-14,452.5
77655,2023-07-17,454.15
77656,2023-07-18,456.34
77657,2023-07-19,462.17
77658,2023-07-20,460.94
77659,2023-07-21,458.33
77660,2023-07-24,458.63
77661,2023-07-25,455.58
77662,2023-07-26,457.99
77663,2023-07-27,458.85
77664,2023-07-28,455.68
77665,2023-07-31,455.35
77666,2023-08-01,456.44
77667,2023-08-02,456.81
77668,2023-08-03,454.7
77669,2023-08-04,454.02
77670,2023-08-07,454.89
77671,2023-08-08,454.84
77672,2023-08-09,455.05
77673,2023-08-10,453.62
77674,2023-08-11,455.25
77675,2023-08-14,455.95
77676,2023-08-15,456
77677,2023-08-16,456.79
77678,2023-08-17,456.7
77679,2023-08-18,456.1
77680,2023-08-21,457.92
77681,2023-08-22,457.82
