Scode,Coname,Date,Tpostnum,Pospostnum,Negpostnum,Neupostnum,Readnum,Commentnum
600988,赤峰黄金,2020-02-28,1070,316,161,593,293823,776
600988,赤峰黄金,2020-02-29,303,44,58,201,216386,663
600988,赤峰黄金,2020-03-01,147,25,19,103,135950,412
600988,赤峰黄金,2020-03-02,1020,254,186,580,584727,1235
600988,赤峰黄金,2020-03-03,815,203,166,446,377299,695
600988,赤峰黄金,2020-03-04,989,225,238,526,359864,670
600988,赤峰黄金,2020-03-05,617,127,148,342,243410,603
600988,赤峰黄金,2020-03-06,1027,237,221,569,325551,900
600988,赤峰黄金,2020-03-07,63,24,5,34,86797,159
600988,赤峰黄金,2020-03-08,60,18,2,40,80738,195
600988,赤峰黄金,2020-03-09,1023,191,248,584,354866,974
600988,赤峰黄金,2020-03-10,571,101,140,330,174492,534
600988,赤峰黄金,2020-03-11,437,111,75,251,180051,510
600988,赤峰黄金,2020-03-12,598,102,165,331,202779,579
600988,赤峰黄金,2020-03-13,493,103,121,269,167820,486
600988,赤峰黄金,2020-03-14,99,10,19,70,72961,145
600988,赤峰黄金,2020-03-15,46,11,5,30,47605,104
600988,赤峰黄金,2020-03-16,427,87,93,247,137871,362
600988,赤峰黄金,2020-03-17,376,83,92,201,152526,421
600988,赤峰黄金,2020-03-18,295,52,77,166,116627,273
600988,赤峰黄金,2020-03-19,246,50,47,149,95159,252
600988,赤峰黄金,2020-03-20,406,101,66,239,158431,494
600988,赤峰黄金,2020-03-21,47,17,4,26,24320,46
600988,赤峰黄金,2020-03-22,45,14,3,28,45306,118
600988,赤峰黄金,2020-03-23,520,167,88,265,116828,390
600988,赤峰黄金,2020-03-24,866,226,159,481,248437,1046
600988,赤峰黄金,2020-03-25,550,118,107,325,150588,548
600988,赤峰黄金,2020-03-26,271,86,41,144,90315,261
600988,赤峰黄金,2020-03-27,325,102,54,169,102652,421
600988,赤峰黄金,2020-03-28,47,16,5,26,41813,120
600988,赤峰黄金,2020-03-29,49,16,5,28,28303,78
600988,赤峰黄金,2020-03-30,365,102,75,188,91740,323
600988,赤峰黄金,2020-03-31,189,41,46,102,66210,339
600988,赤峰黄金,2020-04-01,532,151,119,262,146874,612
600988,赤峰黄金,2020-04-02,361,107,76,178,100772,409
600988,赤峰黄金,2020-04-03,292,85,50,157,77544,377
600988,赤峰黄金,2020-04-04,25,10,2,13,14385,32
600988,赤峰黄金,2020-04-05,16,2,2,12,8903,32
600988,赤峰黄金,2020-04-06,57,19,4,34,30474,104
600988,赤峰黄金,2020-04-07,324,92,58,174,76839,264
600988,赤峰黄金,2020-04-08,185,57,35,93,47633,151
600988,赤峰黄金,2020-04-09,248,80,41,127,57400,331
600988,赤峰黄金,2020-04-10,447,109,89,249,80284,423
600988,赤峰黄金,2020-04-11,27,9,7,11,14495,48
600988,赤峰黄金,2020-04-12,20,3,3,14,15765,32
600988,赤峰黄金,2020-04-13,253,66,57,130,59461,211
